ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS1103,0.00833,-0.024925,0.041584,-0.093632,0.018485,-0.205749,-0.07456,-0.102772,-0.046348,-0.020462,0.042845,-0.083769
DMHDS1219,0.138687,0.190794,0.086579,0.294991,0.438244,0.151738,0.336095,0.295793,0.376397,0.289752,0.314267,0.265237
DMHDS1057,0.497099,0.4045,0.589698,0.599718,0.520482,0.678953,0.414594,0.300706,0.528481,0.547471,0.390998,0.703944
DMHDS0228,-0.319856,-0.56212,-0.077591,-0.013897,-0.146783,0.11899,-0.113724,-0.228369,0.000922,-0.059162,-0.124963,0.006639
DMHDS0278,0.05519,-0.207708,0.318089,-0.06283,-0.234137,0.108477,0.128852,-0.094086,0.351789,-0.023793,-0.09785,0.050264
DMHDS0614,0.162969,0.094702,0.231236,0.072935,-0.139268,0.285138,0.266685,0.210337,0.323034,0.261709,0.086895,0.436523
DMHDS0864,0.277062,0.376933,0.177191,0.251084,0.231155,0.271014,0.199812,0.268183,0.13144,0.298653,0.294022,0.303285
DMHDS0615,-0.114761,-0.092357,-0.137164,-0.31769,-0.282497,-0.352883,-0.132215,-0.182531,-0.081899,-0.119904,-0.116603,-0.123206
DMHDS1078,0.075291,0.113902,0.03668,-0.008454,-0.08903,0.072122,0.129199,0.132772,0.125626,0.063274,-0.006993,0.133541
DMHDS0280,0.353047,0.274873,0.431222,0.406775,0.368218,0.445332,0.342316,0.277832,0.4068,0.370333,0.363619,0.377048
DMHDS0273,0.424205,0.411277,0.437133,0.451347,0.066073,0.83662,0.2424,0.203225,0.281576,0.270253,0.024502,0.516004
DMHDS0366,-1.708788,-0.821699,-2.595876,-1.995815,-1.447265,-2.544365,-0.457541,-0.140094,-0.774988,-0.72393,-0.61783,-0.83003
DMHDS0262,0.329471,0.02803,0.630911,0.215768,-0.097818,0.529353,0.385322,0.169503,0.601142,0.126868,-0.067123,0.320859
DMHDS0703,0.269549,0.247145,0.291954,0.246837,0.155027,0.338648,0.371143,0.369848,0.372437,0.297732,0.226596,0.368869
DMHDS0353,0.343868,0.299553,0.388183,0.189305,0.078638,0.299972,0.252624,0.152395,0.352852,0.145933,0.03344,0.258426
DMHDS0484,-0.007074,-0.080077,0.065929,0.178699,0.042521,0.314878,0.244899,0.170152,0.319646,0.169244,0.1203,0.218187
DMHDS1117,0.369415,0.447618,0.291212,0.343555,0.3597,0.32741,0.281812,0.371377,0.192247,0.321545,0.277401,0.365689
DMHDS0216,0.726825,0.61482,0.838831,0.430777,0.361522,0.500033,0.641884,0.496234,0.787534,0.499654,0.3808,0.618508
DMHDS1179,0.01657,-0.035697,0.068837,0.129483,0.033842,0.225125,0.16215,0.02288,0.301421,0.242037,0.119706,0.364368
DMHDS0619,-0.152569,-0.082491,-0.222647,0.079412,0.265916,-0.107091,-0.066144,-0.045003,-0.087284,0.058974,0.116743,0.001206
DMHDS0329,-0.197838,-0.670081,0.274404,0.10059,0.020207,0.180972,-0.167132,-0.325218,-0.009046,-0.012351,-0.080433,0.055732
DMHDS0624,-0.132648,-0.146854,-0.118442,0.146577,0.075024,0.218131,-0.210795,-0.228335,-0.193255,0.041311,-0.02922,0.111842
DMHDS0962,-0.411381,-0.407265,-0.415497,0.154242,0.16964,0.138845,-0.419514,-0.418182,-0.420846,-0.11158,-0.089576,-0.133584
DMHDS0379,-0.634618,-0.798313,-0.470923,-0.335921,-0.518327,-0.153515,-0.186691,-0.144116,-0.229266,0.113449,0.00783,0.219067
DMHDS0321,1.01878,0.91574,1.12182,1.154772,1.511194,0.79835,0.464997,0.434439,0.495555,0.556216,0.657118,0.455315
DMHDS0817,0.560823,0.35918,0.762466,0.384545,0.271088,0.498002,0.287835,0.086811,0.488859,0.278454,0.082736,0.474172
DMHDS0434,0.093302,0.04272,0.143884,0.042448,-0.01048,0.095377,0.033183,0.008382,0.057983,0.047816,0.056445,0.039187
DMHDS0948,-0.083953,-0.133099,-0.034807,-0.141897,-0.198483,-0.085312,-0.128095,-0.219527,-0.036663,-0.134636,-0.196837,-0.072435
DMHDS0501,-2.864929,-3.72143,-2.008429,-0.100737,-1.187706,0.986232,-2.009837,-2.106504,-1.91317,-1.415913,-2.220992,-0.610834
DMHDS0301,0.002607,-0.131372,0.136585,-0.096131,-0.200828,0.008567,0.090945,-0.027251,0.209142,0.010798,-0.092398,0.113995
DMHDS0460,-0.02125,-0.068072,0.025571,0.051696,0.066467,0.036925,0.007598,-0.020426,0.035623,-0.020417,-0.076585,0.03575
DMHDS1189,0.385037,0.467677,0.302397,0.210566,0.375971,0.045162,0.180924,0.21375,0.148099,0.221984,0.315174,0.128795
DMHDS0875,0.226376,0.123972,0.32878,0.17938,-0.03686,0.395621,0.10487,0.107082,0.102659,0.143919,0.01054,0.277297
DMHDS0600,0.267045,0.348771,0.18532,0.29789,0.400626,0.195154,0.242803,0.27309,0.212517,0.347859,0.283583,0.412136
DMHDS0643,0.452437,0.12832,0.776554,0.571591,0.24923,0.893951,0.41687,0.180163,0.653578,0.475687,0.22906,0.722315
DMHDS1172,0.11479,0.030366,0.199215,0.217498,0.242219,0.192776,0.184085,0.105875,0.262294,0.019074,0.005846,0.032302
DMHDS0967,-0.451218,-0.215655,-0.68678,-0.314727,0.219589,-0.849043,-0.056423,0.203405,-0.316252,-0.020302,0.282798,-0.323402
DMHDS0428,-0.148606,-0.450765,0.153553,0.093844,-0.004753,0.19244,-0.190702,-0.398095,0.016692,-0.050629,-0.180603,0.079345
DMHDS0485,0.355723,0.161238,0.550209,0.155246,0.038914,0.271577,0.296391,0.195699,0.397084,0.291274,0.173774,0.408775
DMHDS0783,0.172935,-0.011214,0.357083,0.128158,-0.088102,0.344418,0.184493,0.056713,0.312273,0.15083,-0.014228,0.315887
DMHDS1038,0.406682,0.221153,0.592211,0.61993,0.523933,0.715926,0.190418,0.003307,0.377529,0.358108,0.21506,0.501157
DMHDS1131,0.158258,-0.009141,0.325656,0.140935,-0.003888,0.285757,-0.005274,-0.191803,0.181254,0.157293,0.079601,0.234986
DMHDS0613,0.177495,0.166315,0.188675,0.094507,0.101011,0.088004,0.234674,0.223213,0.246136,0.187253,0.1618,0.212706
DMHDS0722,0.124536,0.053691,0.195382,0.417882,0.502768,0.332995,0.140353,0.096172,0.184534,0.253412,0.25211,0.254714
DMHDS0621,0.119661,-0.043094,0.282416,-0.02676,-0.079632,0.026111,0.116492,-0.039416,0.2724,0.048756,-0.098366,0.195879
DMHDS0562,0.351364,0.365772,0.336956,0.39448,0.355146,0.433814,0.32353,0.266147,0.380913,0.284297,0.203256,0.365339
DMHDS1035,0.509984,0.292968,0.727,0.330713,0.07126,0.590166,0.473233,0.298689,0.647778,0.353974,0.196566,0.511382
DMHDS0979,-0.123254,-0.142979,-0.103528,-0.076578,-0.122583,-0.030574,-0.239888,-0.246861,-0.232916,-0.207174,-0.241128,-0.17322
DMHDS0808,0.1372,0.142379,0.13202,0.015854,0.036425,-0.004717,0.109602,0.071623,0.147581,0.028992,0.019529,0.038455
